LAT,LON,JAN,FEV,MR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-53.375,0.114758,0.0877232,0.0352823,0.177667,0.0665726,0.168375,0.249476,0.12,0.147458,0.0398387,0.0917083,0.0790322
-36.875,-53.125,0.06,0.143482,0.0364113,0.415083,0.0568145,0.17525,0.264073,0.132137,0.114167,0.0497178,0.0875833,0.0828629
-36.875,-52.875,0.0618548,0.119643,0.0389113,0.291792,0.0560081,0.169375,0.321492,0.124032,0.095,0.0592742,0.068375,0.0604839
-36.875,-52.625,0.0487903,0.113616,0.0565323,0.183667,0.086129,0.200958,0.353548,0.10121,0.0974583,0.0604032,0.0609167,0.0885081
-36.875,-52.375,0.0568548,0.110179,0.11121,0.199917,0.110363,0.221833,0.323347,0.140887,0.09325,0.0464113,0.0582917,0.0566532
-36.875,-52.125,0.0611694,0.0995982,0.123226,0.247708,0.0926613,0.214667,0.379677,0.135605,0.125667,0.0598387,0.135333,0.0510887
-36.875,-51.875,0.0739516,0.0865625,0.157097,0.35,0.0812903,0.235083,0.340887,0.162863,0.1485,0.0503226,0.124083,0.0312903
-36.875,-51.625,0.0987097,0.0862946,0.174315,0.5415,0.0880242,0.237,0.464274,0.146492,0.190333,0.0296371,0.0723333,0.0422984
-36.875,-51.375,0.129718,0.0771875,0.127621,0.706,0.0667742,0.256958,0.425443,0.140806,0.161292,0.0320565,0.07475,0.0735887
-36.875,-51.125,0.167621,0.0770536,0.110363,0.718208,0.0556452,0.240125,0.470484,0.172782,0.134417,0.0634274,0.0725417,0.0676613
-36.875,-50.875,0.159153,0.0824554,0.120847,0.464958,0.0508468,0.172583,0.491895,0.246371,0.117958,0.0624194,0.0714583,0.0593952
-36.875,-50.625,0.124839,0.0942411,0.123266,0.396042,0.0415323,0.195,0.416129,0.191008,0.16,0.0731452,0.0941667,0.0635484
-36.875,-50.375,0.0985484,0.125045,0.114153,0.468375,0.0559677,0.217083,0.37746,0.197419,0.146667,0.0635484,0.093375,0.0866532
-36.875,-50.125,0.113145,0.130268,0.096129,0.424417,0.0574193,0.196667,0.38996,0.199879,0.152667,0.0235081,0.0953333,0.0747177
-36.875,-49.875,0.189839,0.122723,0.116169,0.356667,0.065121,0.207125,0.431814,0.255806,0.137,0.0231452,0.081125,0.073629
-36.875,-49.625,0.183952,0.13558,0.0931048,0.222833,0.0650403,0.215833,0.412379,0.236855,0.1215,0.0274597,0.107375,0.0549597
-36.875,-49.375,0.116815,0.131384,0.0716936,0.227917,0.0654032,0.1965,0.482298,0.262177,0.133917,0.0316129,0.1185,0.0635484
-36.875,-49.125,0.0994355,0.113214,0.0666129,0.22475,0.0689516,0.187583,0.332621,0.273468,0.137417,0.0609274,0.110042,0.050121
-36.875,-48.875,0.115161,0.124241,0.0464919,0.177958,0.0645565,0.167208,0.360242,0.252056,0.238917,0.0615323,0.102167,0.0491532
-36.875,-48.625,0.152419,0.135536,0.0237903,0.177625,0.0715726,0.161667,0.394395,0.267137,0.274458,0.0465323,0.098875,0.0431048
-36.875,-48.375,0.14129,0.141473,0.0118145,0.151667,0.0906048,0.168292,0.349516,0.267419,0.227667,0.0512903,0.0977083,0.0289919
-36.875,-48.125,0.15629,0.127277,0.0126613,0.160583,0.085121,0.21175,0.31996,0.243952,0.32375,0.0513306,0.0863333,0.0256452
-36.875,-47.875,0.227379,0.125625,0.0175403,0.117708,0.081129,0.159125,0.385565,0.240403,0.293875,0.0993952,0.116458,0.0387097
-36.875,-47.625,0.215605,0.111696,0.0284677,0.109667,0.0714113,0.146833,0.43621,0.27996,0.312458,0.102581,0.0894583,0.0182661
-36.875,-47.375,0.151935,0.0955357,0.0257258,0.0959167,0.117177,0.117875,0.456895,0.331492,0.338,0.122419,0.078125,0.028871
-36.875,-47.125,0.185645,0.120179,0.0243952,0.091625,0.092379,0.133708,0.419839,0.256976,0.323625,0.130685,0.0655,0.0235484
-36.875,-46.875,0.200323,0.132634,0.0314919,0.130458,0.0752016,0.155167,0.486331,0.248105,0.387667,0.172621,0.0867917,0.0168548
-36.875,-46.625,0.151613,0.119732,0.0281452,0.126125,0.0690726,0.124292,0.440806,0.2225,0.450208,0.170524,0.09675,0.0177016
-36.875,-46.375,0.267742,0.111429,0.0568548,0.161542,0.0758468,0.110042,0.364032,0.230766,0.393333,0.167581,0.104375,0.0266935
-36.875,-46.125,0.230121,0.100893,0.0751613,0.146042,0.073871,0.109917,0.368508,0.205,0.416167,0.203468,0.127875,0.0272177
-36.875,-45.875,0.107339,0.083125,0.0661693,0.194167,0.0637097,0.0963333,0.339758,0.203024,0.275208,0.161653,0.110875,0.0282661
-36.875,-45.625,0.15,0.0765179,0.0341532,0.181917,0.071371,0.123958,0.452944,0.188952,0.264542,0.176613,0.107333,0.0361694
-36.875,-45.375,0.216331,0.0611607,0.0302419,0.169458,0.0899597,0.141917,0.377661,0.191694,0.26675,0.19,0.112125,0.0472581
-36.875,-45.125,0.205605,0.0570982,0.0240726,0.172125,0.0908871,0.149708,0.397177,0.174476,0.233583,0.140202,0.125042,0.0536694
-36.875,-44.875,0.158185,0.0723661,0.0329032,0.182958,0.0741935,0.159125,0.358145,0.173024,0.264583,0.13996,0.109417,0.0787903
-36.875,-44.625,0.164879,0.105491,0.033871,0.201667,0.0718548,0.152708,0.335444,0.141653,0.271958,0.134798,0.118125,0.0597984
-36.875,-44.375,0.171008,0.12125,0.035121,0.14125,0.0768145,0.144583,0.338347,0.143669,0.29225,0.111734,0.091375,0.0450807
-36.875,-44.125,0.200645,0.129955,0.0529435,0.09725,0.0840726,0.159042,0.351371,0.120887,0.356708,0.120242,0.082125,0.0522177
-36.875,-43.875,0.205242,0.145714,0.0840323,0.143042,0.107702,0.196583,0.408347,0.112419,0.380542,0.0869355,0.0550417,0.0469355
-36.875,-43.625,0.192702,0.15567,0.123468,0.186417,0.106653,0.208042,0.357944,0.133306,0.36725,0.109677,0.0560417,0.063629
-36.875,-43.375,0.138306,0.172411,0.0625806,0.200833,0.121653,0.190875,0.353831,0.132823,0.388542,0.137702,0.0652917,0.073629
-36.875,-43.125,0.108669,0.153259,0.0910081,0.19425,0.16875,0.2075,0.323911,0.146129,0.433458,0.195847,0.0542917,0.0985081
-36.875,-42.875,0.106613,0.18058,0.0906048,0.24025,0.179919,0.220667,0.241855,0.146855,0.342083,0.19875,0.0472917,0.123024
-36.875,-42.625,0.188266,0.232143,0.0452419,0.277625,0.142661,0.169583,0.218185,0.157419,0.348958,0.216855,0.09225,0.112621
-36.875,-42.375,0.204073,0.241295,0.0416532,0.358208,0.154315,0.165917,0.25875,0.17379,0.353083,0.259718,0.100958,0.113145
-36.875,-42.125,0.171492,0.251518,0.0303629,0.120042,0.149879,0.147833,0.267298,0.162823,0.364625,0.201734,0.100708,0.105524
-36.875,-41.875,0.207298,0.28317,0.0314919,0.108,0.124556,0.0930833,0.255524,0.116694,0.425375,0.0889113,0.0795833,0.0940323
-36.875,-41.625,0.208548,0.272991,0.0408871,0.110375,0.113508,0.0975,0.288185,0.108145,0.441042,0.102177,0.0783333,0.0941936
-36.875,-41.375,0.187581,0.283393,0.137097,0.179708,0.146976,0.105083,0.3375,0.140484,0.489,0.0956452,0.105708,0.110847
-36.875,-41.125,0.19621,0.276027,0.0994758,0.298417,0.149234,0.11,0.286452,0.111895,0.503958,0.0969355,0.140833,0.100121
-36.875,-40.875,0.183548,0.293482,0.0709677,0.355333,0.157823,0.121583,0.316613,0.144798,0.467125,0.0866532,0.144958,0.0874597
-36.875,-40.625,0.162823,0.327366,0.139153,0.226,0.166411,0.116667,0.287137,0.157419,0.51275,0.0994355,0.131542,0.0684677
-36.875,-40.375,0.150484,0.407143,0.159274,0.208292,0.189113,0.112417,0.284153,0.169274,0.526,0.0845565,0.139917,0.0842339
-36.875,-40.125,0.102419,0.376339,0.11754,0.317208,0.283468,0.120958,0.307016,0.174798,0.474917,0.0943548,0.147917,0.0766532
-36.875,-39.875,0.130484,0.383527,0.129476,0.167083,0.34621,0.101333,0.30625,0.160524,0.4355,0.116976,0.149167,0.074879
-36.875,-39.625,0.112339,0.372366,0.115161,0.210292,0.343427,0.091125,0.199073,0.158306,0.47875,0.137056,0.151708,0.071371
-36.875,-39.375,0.0841129,0.372857,0.103145,0.23425,0.326008,0.112875,0.166895,0.16254,0.417875,0.118669,0.153792,0.0578629
-36.875,-39.125,0.0741129,0.380268,0.104476,0.152708,0.309597,0.116167,0.160323,0.17379,0.366375,0.0985081,0.153292,0.0375806
-36.875,-38.875,0.0752823,0.369732,0.119355,0.138583,0.302298,0.1155,0.215565,0.183508,0.345917,0.119919,0.238583,0.0292742
-36.875,-38.625,0.0591129,0.37942,0.110847,0.111125,0.323065,0.129208,0.189194,0.201613,0.337208,0.154436,0.228,0.0314113
-36.875,-38.375,0.039879,0.380179,0.0960887,0.088,0.253669,0.150375,0.198186,0.190645,0.295625,0.142298,0.265375,0.0482258
-36.875,-38.125,0.042379,0.416696,0.0791129,0.0765,0.23629,0.180042,0.214718,0.180363,0.285917,0.161452,0.262833,0.0472984
-36.875,-37.875,0.0422984,0.468839,0.0362097,0.072125,0.25746,0.172208,0.227218,0.222742,0.31475,0.18746,0.164458,0.0392742
-36.875,-37.625,0.0326613,0.460848,0.0333468,0.0992917,0.205685,0.157125,0.22754,0.250847,0.265125,0.201331,0.157542,0.0316129
-36.875,-37.375,0.0288306,0.450536,0.036129,0.11375,0.26254,0.160667,0.226815,0.257863,0.247583,0.179597,0.154,0.0447581
-36.875,-37.125,0.0396774,0.454241,0.0333871,0.138833,0.217379,0.177583,0.255605,0.279476,0.253167,0.133306,0.169125,0.0240726
-36.875,-36.875,0.031129,0.49125,0.0345968,0.176958,0.176492,0.249625,0.313468,0.375524,0.265792,0.0891936,0.1865,0.0199597
-36.875,-36.625,0.0245161,0.482366,0.042621,0.2065,0.122823,0.232917,0.277339,0.398306,0.315417,0.0883468,0.145,0.0267339
-36.875,-36.375,0.0233468,0.387857,0.0595161,0.227458,0.128871,0.235542,0.268065,0.355484,0.288833,0.0946371,0.146333,0.0395968
-36.875,-36.125,0.0279839,0.39125,0.0664113,0.214792,0.126815,0.233583,0.225726,0.344798,0.249208,0.136008,0.159542,0.0495565
-36.875,-35.875,0.0319758,0.405625,0.0542339,0.194167,0.172339,0.219875,0.14875,0.417258,0.239458,0.148145,0.133125,0.0733468
-36.875,-35.625,0.0264516,0.443036,0.0317339,0.205125,0.147621,0.205042,0.162903,0.480081,0.249167,0.127702,0.134958,0.0910484
-36.875,-35.375,0.0439516,0.454777,0.0202016,0.252667,0.198145,0.219125,0.158669,0.449113,0.284708,0.101411,0.122625,0.0985484
-36.875,-35.125,0.0594355,0.428393,0.0131048,0.22575,0.230766,0.225625,0.164798,0.447177,0.281458,0.0916935,0.126542,0.0771371
-36.875,-34.875,0.0628226,0.394018,0.0204032,0.184667,0.167298,0.226917,0.187379,0.644194,0.285833,0.160887,0.129208,0.0724194
-36.875,-34.625,0.0418548,0.297143,0.0332258,0.167375,0.168266,0.237708,0.225484,0.622258,0.270083,0.182056,0.123042,0.0643145
-36.625,-76.875,0.0154032,0.0555804,0.0025,8.33E-05,0.0325403,0.0885417,0.0564919,0.125726,0.0256667,0.0114919,0.0095,0.00181452
-36.625,-76.625,0.0173387,0.0277679,0.00237903,0.00154167,0.0310887,0.0899167,0.0656452,0.125847,0.0223333,0.0229032,0.0142917,0.00205645
-36.625,-76.375,0.0147984,0.0175446,0.00181452,0.002625,0.0310887,0.086625,0.0470161,0.115121,0.012,0.0180242,0.0240833,0.00229839
-36.625,-76.125,0.0197177,0.0487054,0.00342742,0.000291667,0.023629,0.07125,0.0442339,0.11871,0.00995833,0.0120565,0.0323333,0.0021371
-36.625,-75.875,0.0319355,0.0458036,0.00375,0.000208333,0.0222984,0.056625,0.0351613,0.117379,0.0107917,0.0114113,0.0809167,0.00322581
-36.625,-75.625,0.0119355,0.0509375,0.000967742,0.000625,0.0218145,0.0667917,0.0493145,0.128548,0.00929167,0.00794355,0.0437083,0.00193548
-36.625,-75.375,0.0133065,0.0421875,0.00112903,0.000666667,0.0168952,0.0699583,0.0546774,0.124839,0.00604167,0.00625,0.0427917,0.00403226
-36.625,-75.125,0.0136694,0.0523661,8.06E-05,0,0.0120968,0.0864583,0.0515323,0.121653,0.00395833,0.00903226,0.0316667,0.00439516
-36.625,-74.875,0.0267339,0.0465179,0.00221774,0.000375,0.00645161,0.092125,0.0197984,0.0919758,0.00629167,0.00346774,0.0162917,0.0041129
-36.625,-74.625,0.00245968,0.0221875,0.00439516,0.000333333,0.0139919,0.0784167,0.0302016,0.102298,0.006625,0.00366935,0.0261667,0.00508064
-36.625,-74.375,0.00197581,0.0152679,0.00306452,0,0.0203629,0.0908333,0.0300806,0.101048,0.00608333,0.00447581,0.0359583,0.00366935
-36.625,-74.125,0.00229839,0.0101339,0.00455645,0,0.0182661,0.085375,0.072379,0.0808064,0.00404167,0.00959677,0.065125,0.00524194
